query_product_id,query_product,query_form,rank,matched_product_id,matched_product,matched_form,formula_similarity,ingredient_similarity,function_similarity,manual_rating,notes
P00045,Cicaplast Balm B5+,balm,1,P00009,CONFIDENCE IN A CREAM ANTI-AGING HYDRATING MOISTURIZER,cream,0.1949,0.1803,0.8903,Reasonable,"Shares 11 ingredients and three high-position ingredients, including water, glycerin, and dimethicone. Overall similarity is still modest."
P00045,Cicaplast Balm B5+,balm,2,P00028,Skin Balance Day Cream,cream,0.1933,0.1364,0.948,Reasonable,"Strong high-position overlap including glycerin, shea butter, and panthenol supports the match despite only six shared ingredients."
P00045,Cicaplast Balm B5+,balm,3,P00042,Bariéderm-CICA Daily Gel-Cream,gel_cream,0.184,0.1556,0.9228,Reasonable,"Shares glycerin and panthenol at relatively high positions, with several additional shared ingredients. Formula differences remain substantial."
P00045,Cicaplast Balm B5+,balm,4,P00033,Intensive Moisture Facial Cream,cream,0.1836,0.1333,0.9152,Reasonable,Four shared high-position ingredients provide clear formula-level evidence for the match.
P00045,Cicaplast Balm B5+,balm,5,P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,0.1828,0.12,0.9379,Questionable / weak,"The main high-position overlap is dominated by common moisturizer ingredients such as water, glycerin, and dimethicone, while the remaining high-position formula differs substantially."
P00001,CeraVe Moisturizing Cream,cream,1,P00037,PM Facial Moisturizing Lotion,lotion,0.7343,0.7778,0.9715,Reasonable,Very strong match with 21 shared ingredients and seven shared high-position ingredients. All three similarity signals are consistently high.
P00001,CeraVe Moisturizing Cream,cream,2,P00027,Lipid Gold,lotion,0.3149,0.4054,0.9118,Reasonable,"Shares 15 ingredients and has a similar lipid/barrier-oriented function profile, although most shared ingredients occur at different positions."
P00001,CeraVe Moisturizing Cream,cream,3,P00023,Squalane + Omega Repair Cream,cream,0.2912,0.2703,0.8054,Reasonable,"Four important high-position ingredients overlap, including glycerin, caprylic/capric triglyceride, and cetearyl alcohol."
P00001,CeraVe Moisturizing Cream,cream,4,P00019,Moisturising Gel Cream,gel_cream,0.2857,0.2368,0.9364,Reasonable,"High-position overlap includes glycerin, caprylic/capric triglyceride, and ceramide NP, providing clear formula evidence."
P00001,CeraVe Moisturizing Cream,cream,5,P00014,Water Drench Hyaluronic Cloud Cream Hydrating Moisturizer,cream,0.2562,0.2321,0.9308,Questionable / weak,"Shares 13 ingredients, but high-position overlap is mainly water and glycerin while the remaining top formula structure differs substantially."
P00023,Squalane + Omega Repair Cream,cream,1,P00047,Lait-Crème Fluid+,fluid,0.3058,0.2286,0.9597,Reasonable,"Five shared high-position ingredients, including caprylic/capric triglyceride, glycerin, shea butter, and sorbitan olivate, provide strong formula evidence."
P00023,Squalane + Omega Repair Cream,cream,2,P00001,CeraVe Moisturizing Cream,cream,0.2912,0.2703,0.8054,Reasonable,"Shares 10 ingredients with four important high-position overlaps, although the two formulas emphasize different lipid and barrier components."
P00023,Squalane + Omega Repair Cream,cream,3,P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,0.2811,0.2647,0.9506,Reasonable,"Four high-position ingredients overlap, including the cetearyl olivate and sorbitan olivate pair. The overall formula style still differs."
P00023,Squalane + Omega Repair Cream,cream,4,P00037,PM Facial Moisturizing Lotion,lotion,0.2779,0.2368,0.7207,Reasonable,Four shared high-position ingredients provide clear structural overlap despite substantial differences in barrier-related ingredients.
P00023,Squalane + Omega Repair Cream,cream,5,P00010,Rhode Barrier Restore Cream,cream,0.2654,0.2083,0.8666,Reasonable,Strong intuitive match with five high-position overlaps including squalane and shea butter. Its lower rank shows that total formula structure affects the final ordering.
P00022,Protini Polypeptide Cream,cream,1,P00039,Cloud Dew Gel Cream Moisturizer,gel_cream,0.2938,0.3049,0.8654,Reasonable,Shares 25 ingredients and three high-position ingredients. The broad ingredient overlap provides strong support despite differences in the top formula structure.
P00022,Protini Polypeptide Cream,cream,2,P00008,The Ordinary Natural Moisturizing Factors + HA,cream,0.2595,0.3,0.8818,Reasonable,"Shares 24 ingredients, giving substantial overall formula overlap even though only water and glycerin align within the top positions."
P00022,Protini Polypeptide Cream,cream,3,P00005,Neutrogena Hydro Boost Gel Cream Fragrance Free,gel_cream,0.2283,0.1948,0.8733,Reasonable,"Fifteen shared ingredients plus high-position glycerin, cetearyl olivate, and sorbitan olivate provide clear evidence for the match."
