priority_rank,normalized_name,review_status,proposed_functions,confidence,source,reason
1,glycerin,mapped,humectant;texture_viscosity,high,https://cosmileeurope.eu/inci/,Direct cosmetic functions support humectant and viscosity-controlling roles.
2,water,taxonomy_gap,,,https://cosmileeurope.eu/inci/,Primary function is solvent; the current project taxonomy has no solvent group.
3,dimethicone,mapped,emollient,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
4,squalane,mapped,emollient,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
5,caprylic/capric triglyceride,mapped,emollient,medium,https://cosmileeurope.eu/inci/,Project-level mapping based on its established emollient role; official labels may use broader skin-conditioning terminology.
6,sodium hyaluronate,mapped,humectant,high,https://pubmed.ncbi.nlm.nih.gov/36200921/,Hyaluronic-acid salt is mapped to humectant based on its hygroscopic hydration role.
7,cetearyl alcohol,mapped,emollient;texture_viscosity,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
8,phenoxyethanol,mapped,preservative,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
9,butylene glycol,mapped,humectant;texture_viscosity,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
10,tocopherol,mapped,antioxidant,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
11,ceramide np,mapped,barrier_supporting,medium,https://pubmed.ncbi.nlm.nih.gov/39113291/,Ceramide-specific evidence supports a role in stratum-corneum barrier structure and repair.
12,niacinamide,mapped,barrier_supporting;active_treatment,medium,https://pubmed.ncbi.nlm.nih.gov/38722460/,Ingredient-specific review supports barrier protection and treatment-oriented cosmetic benefits.
13,caprylyl glycol,mapped,emollient,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
14,carbomer,mapped,texture_viscosity,high,https://cosmileeurope.eu/inci/,Function mapping is supported by the cited cosmetic ingredient function source.
15,ethylhexylglycerin,deferred_evidence,,,https://cosmileeurope.eu/inci/,"Often used as a preservative booster, but the current evidence reviewed does not justify classifying it as a preservative itself."
16,butyrospermum parkii butter,mapped,emollient;occlusive;texture_viscosity,medium,https://cosmileeurope.eu/inci/,Mapped as a lipid-rich emollient with surface barrier and viscosity contributions; occlusive classification is project-level.
