normalized_name,function_name,source,confidence,notes
glycerin,humectant,https://cosmileeurope.eu/inci/,high,Direct cosmetic functions support humectant and viscosity-controlling roles.
glycerin,texture_viscosity,https://cosmileeurope.eu/inci/,high,Direct cosmetic functions support humectant and viscosity-controlling roles.
dimethicone,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
squalane,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
caprylic/capric triglyceride,emollient,https://cosmileeurope.eu/inci/,medium,Project-level mapping based on its established emollient role; official labels may use broader skin-conditioning terminology.
sodium hyaluronate,humectant,https://pubmed.ncbi.nlm.nih.gov/36200921/,high,Hyaluronic-acid salt is mapped to humectant based on its hygroscopic hydration role.
cetearyl alcohol,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
cetearyl alcohol,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
phenoxyethanol,preservative,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
butylene glycol,humectant,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
butylene glycol,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
tocopherol,antioxidant,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
ceramide np,barrier_supporting,https://pubmed.ncbi.nlm.nih.gov/39113291/,medium,Ceramide-specific evidence supports a role in stratum-corneum barrier structure and repair.
niacinamide,barrier_supporting,https://pubmed.ncbi.nlm.nih.gov/38722460/,medium,Ingredient-specific review supports barrier protection and treatment-oriented cosmetic benefits.
niacinamide,active_treatment,https://pubmed.ncbi.nlm.nih.gov/38722460/,medium,Ingredient-specific review supports barrier protection and treatment-oriented cosmetic benefits.
caprylyl glycol,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
carbomer,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
butyrospermum parkii butter,emollient,https://cosmileeurope.eu/inci/,medium,Mapped as a lipid-rich emollient with surface barrier and viscosity contributions; occlusive classification is project-level.
butyrospermum parkii butter,occlusive,https://cosmileeurope.eu/inci/,medium,Mapped as a lipid-rich emollient with surface barrier and viscosity contributions; occlusive classification is project-level.
butyrospermum parkii butter,texture_viscosity,https://cosmileeurope.eu/inci/,medium,Mapped as a lipid-rich emollient with surface barrier and viscosity contributions; occlusive classification is project-level.
cetearyl olivate,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
dicaprylyl carbonate,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
panthenol,humectant,https://pubmed.ncbi.nlm.nih.gov/28503966/,medium,"Topical dexpanthenol evidence supports moisturization, barrier enhancement, and irritation reduction."
panthenol,barrier_supporting,https://pubmed.ncbi.nlm.nih.gov/28503966/,medium,"Topical dexpanthenol evidence supports moisturization, barrier enhancement, and irritation reduction."
panthenol,soothing,https://pubmed.ncbi.nlm.nih.gov/28503966/,medium,"Topical dexpanthenol evidence supports moisturization, barrier enhancement, and irritation reduction."
cetyl alcohol,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
cetyl alcohol,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
glyceryl stearate,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
glyceryl stearate,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
sorbitan olivate,emollient,https://cosmileeurope.eu/inci/,medium,Mapped to emollient as a project-level interpretation of its skin-conditioning lipid role; emulsifying function is not represented.
propanediol,humectant,https://cosmileeurope.eu/inci/,medium,Function mapping is supported by the cited cosmetic ingredient function source.
"1,2-hexanediol",humectant,https://cosmileeurope.eu/inci/,medium,Function mapping is supported by the cited cosmetic ingredient function source.
betaine,humectant,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
xanthan gum,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
sodium pca,humectant,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
ceramide ap,barrier_supporting,https://pubmed.ncbi.nlm.nih.gov/39113291/,medium,Ceramide-specific evidence supports a role in stratum-corneum barrier structure and repair.
ceramide eop,barrier_supporting,https://pubmed.ncbi.nlm.nih.gov/39113291/,medium,Ceramide-specific evidence supports a role in stratum-corneum barrier structure and repair.
isohexadecane,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
sodium lactate,humectant,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
arginine,humectant,https://cosmileeurope.eu/inci/,medium,Function mapping is supported by the cited cosmetic ingredient function source.
stearyl alcohol,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
stearyl alcohol,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
sodium benzoate,preservative,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
trehalose,humectant,https://cosmileeurope.eu/inci/,medium,Function mapping is supported by the cited cosmetic ingredient function source.
cholesterol,barrier_supporting,https://pubmed.ncbi.nlm.nih.gov/39113291/,medium,Cholesterol is one of the major intercellular barrier lipids used with ceramides and fatty acids.
glycine,humectant,https://cosmileeurope.eu/inci/,medium,Amino-acid/NMF role supports a conservative humectant mapping.
sodium polyacrylate,texture_viscosity,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
cyclopentasiloxane,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
pentaerythrityl tetraethylhexanoate,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
polyglyceryl-3 methylglucose distearate,emollient,https://cosmileeurope.eu/inci/,medium,Project-level emollient mapping retained; its emulsifying function is outside the current taxonomy.
chlorphenesin,preservative,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
fragrance,fragrance_related,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
hydrogenated lecithin,emollient,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
hydroxyacetophenone,antioxidant,https://cosmileeurope.eu/inci/,high,Function mapping is supported by the cited cosmetic ingredient function source.
